"Country or Area","Year(s)","Variant","Value"
"WHO Regions","2024","Medium","4044592.303"
"WHO Regions","2023","Medium","4008578.876"
"WHO Regions","2022","Medium","3972557.855"
"WHO Regions","2021","Medium","3938396.334"
"WHO Regions","2020","Medium","3903830.102"
"WHO Regions","2019","Medium","3865460.645"
"WHO: African region (AFRO)","2024","Medium","635501.184"
"WHO: African region (AFRO)","2023","Medium","620168.124"
"WHO: African region (AFRO)","2022","Medium","605118.397"
"WHO: African region (AFRO)","2021","Medium","590629.717"
"WHO: African region (AFRO)","2020","Medium","576253.311"
"WHO: African region (AFRO)","2019","Medium","561995.106"
"WHO: Americas (AMRO)","2024","Medium","528792.899"
"WHO: Americas (AMRO)","2023","Medium","525192.667"
"WHO: Americas (AMRO)","2022","Medium","521535.137"
"WHO: Americas (AMRO)","2021","Medium","518468.358"
"WHO: Americas (AMRO)","2020","Medium","515831.218"
"WHO: Americas (AMRO)","2019","Medium","512412.194"
"WHO: Eastern Mediterranean Region (EMRO)","2024","Medium","401329.119"
"WHO: Eastern Mediterranean Region (EMRO)","2023","Medium","394046.103"
"WHO: Eastern Mediterranean Region (EMRO)","2022","Medium","386433.664"
"WHO: Eastern Mediterranean Region (EMRO)","2021","Medium","379000.416"
"WHO: Eastern Mediterranean Region (EMRO)","2020","Medium","371989.914"
"WHO: Eastern Mediterranean Region (EMRO)","2019","Medium","364951.72"
"WHO: European Region (EURO)","2024","Medium","483665.916"
"WHO: European Region (EURO)","2023","Medium","483034.265"
"WHO: European Region (EURO)","2022","Medium","482804.483"
"WHO: European Region (EURO)","2021","Medium","482673.372"
"WHO: European Region (EURO)","2020","Medium","482112.05"
"WHO: European Region (EURO)","2019","Medium","481020.254"
"WHO: South-East Asia region (SEARO)","2024","Medium","1038085.833"
"WHO: South-East Asia region (SEARO)","2023","Medium","1029042.845"
"WHO: South-East Asia region (SEARO)","2022","Medium","1020063.763"
"WHO: South-East Asia region (SEARO)","2021","Medium","1012019.645"
"WHO: South-East Asia region (SEARO)","2020","Medium","1003905.715"
"WHO: South-East Asia region (SEARO)","2019","Medium","994652.549"
"WHO: Western Pacific region (WPRO)","2024","Medium","957217.353"
"WHO: Western Pacific region (WPRO)","2023","Medium","957094.873"
"WHO: Western Pacific region (WPRO)","2022","Medium","956602.412"
"WHO: Western Pacific region (WPRO)","2021","Medium","955604.826"
"WHO: Western Pacific region (WPRO)","2020","Medium","953737.895"
"WHO: Western Pacific region (WPRO)","2019","Medium","950428.822"
"World","2024","Medium","4058360.359"
"World","2023","Medium","4022383.002"
"World","2022","Medium","3986399.268"
"World","2021","Medium","3952300.215"
"World","2020","Medium","3917772.279"
"World","2019","Medium","3879384.636"

